name,keggId,formula,mass
2-chloro-5-methyl-maleylacetate~3-chloro-2-methyl-maleylacetate,C18305~C18310,C7H5ClO5,205.998175
"(2R.3S)-2-Hydroxybutane-1.2.3-tricarboxylate~(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate~(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate;~(2S.3R)-3-Hydroxybutane-1.2.3-tricarboxylate~2-Hydroxybutane-1.2.3-tricarboxylate~2-methyl-citrate~2-Methylcitrate~2-methylcitrate(3-)~Methylisocitrate~Methylisocitric acid",C02225~C04593,C7H10O7~C7H7O7,206.04262
Lipoate,C00725,C8H14O2S2,206.04351
2-hydroxy-3-methylbenzylidenepyruvic acid,C14086,C11H9O4,206.05789
Dihydrolipoamide~Dihydrolipoamide-E~Dihydrothioctamide~Enzyme N6-(dihydrolipoyl)lysine,C00579,C8H17NOS2,207.075145
Lead~Pb~Pb2+,C06696,Pb,207.2
"2,5-dichloro-trans-dienelactone",C12834,C6HCl2O4,207.93299
1-methoxyphenanthrene,C11433,C15H12O,208.08881
4-hydroxyphenylacetylglycine,C05596,C10H10NO4,209.068785
4-Acetamido-2-amino-6-nitrotoluene,C16420,C9H11N3O3,209.080015
D-Galactarate~D-Glucarate,C00818~C00879,C6H10O8~C6H8O8,210.03753
"1,3,7-trimethyluric acid",C16361,C8H10N4O3,210.07526
sinapyl alcohol,C02325,C11H14O4,210.08919
"3,4,6-trichlorocatechol",C12831,C6H2Cl3O2,211.919845
"(2Z,4E,7E)-2-hydroxy-6-oxonona-2,4,7-trienedioate~2-hydroxy-6-ketononatrienedioate",C12624,C9H6O6~C9H8O6,212.03206
"Anthracene-9,10-dihydrodiol",C16205,C14H12O2,212.08372
"3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-indene-4-carboxylate",,C11H16O4,212.10484
(2S)-2-Amino-3-oxo-4-phosphonooxybutanoate~2-Amino-3-oxo-4-phosphonooxybutyrate~4-Phospho-L-aspartate~4-phosphonato-L-aspartic acid(2-)~L-2-Amino-3-oxo-4-phosphonooxybutyrate~L-4-Aspartyl phosphate,C03082~C07335,C4H6NO7P~C4H8NO7P,213.0038
(3R)-3-Hydroxy-2-oxo-4-phosphonooxybutanoate~(R)-3-hydroxy-2-oxo-4-(phosphonatoooxy)butanoate~2-Oxo-3-hydroxy-4-phosphobutanoate~alpha-Keto-3-hydroxy-4-phosphobutyrate,C06054,C4H4O8P~C4H7O8P,213.987815
1-Deoxy-D-xylulose 5-phosphate~1-deoxy-D-xylulose5-phosphate~2-Deoxy-alpha-D-ribose 1-phosphate~2-Deoxy-D-ribose 1-phosphate~2-Deoxy-D-ribose 5-phosphate~2-deoxy-D-ribose 5-phosphate(2-)~2-Deoxy-D-ribose1-phosphate~2-Deoxy-D-ribose5-phosphate~deoxyribose-1-phosphate~deoxyribose-5-phosphate,C00672~C00673~C11437,C5H11O7P~C5H9O7P,214.024205
"(2Z,4E)-2-hydroxy-6-oxonona-2,4-dienedioate~2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate",C04479,C9H10O6~C9H8O6,214.04771
"4,4'-Dihydroxybenzophenone",C14220,C13H9O3,214.06298
Desthiobiotin~Dethiobiotin~dethiobiotin(1-),C01909,C10H17N2O3~C10H18N2O3,214.13172
4-(Phosphonooxy)-L-threonine~4-(Phosphonooxy)-threonine~O-Phospho-4-hydroxy-L-threonine,C06055,C4H10NO7P~C4H8NO7P,215.01945
Glycerophosphoethanolamine~sn-glycero-3-Phosphoethanolamine~sn-glycero-3-phosphoethanolamine zwitterion~sn-glycero-3-Phospoethanolamine,C01233,C5H14NO6P,215.05584
"(3R,6R)-1,3,4,6-tetrachlorocyclohexa-1,4-diene",C06597,C6H4Cl4,215.9067
4-Phospho-D-erythronate~4-Phosphoerythronate,C03393,C4H9O8P,216.003465
2-C-methyl-D-erythritol 4-phosphate~2-C-methyl-D-erythritol 4-phosphate(2-)~2-c-methyl-d-erythritol-4-phosphate~2-C-methyl-D-erythritol4-phosphate~2-C-Methyl-erythritol 4-phosphate,C11434,C5H11O7P~C5H13O7P,216.039855
Bis(4-hydroxyphenyl)methanol,C18215,C13H12O3,216.07863
gamma-glutamyl-gamma-butyraldehyde,C15700,C9H16O4N2,216.11098
N-acetyl-L-citrullinate,C15532,C8H14N3O4,217.106225
gamma-glutamyl-putrescine,C15699,C9H19O3N3,217.142615
"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate",C01273,C12H9O4,218.05789
1-Hydroxypyrene,C14519,C16H10O,218.07316
N-Methyltryptophan,C02983,C12H14N2O2,218.10551
4-nitrophenyl phosphate,C03360,C6H4NO6P,218.99324
4-Amino-2-methyl-5-phosphomethylpyrimidine~4-amino-2-methyl-5-phosphonatomethylpyrimidine(2-)~4-Amino-5-phosphomethyl-2-methylpyrimidine,C04556,C6H10N3O4P~C6H8N3O4P,219.04086
O-succinyl-L-homoserinate(1-)~O-Succinyl-L-homoserine,C01118,C8H12NO6~C8H13NO6,219.074255
(R)-Pantothenate~PAN~Pantothenate~Pantothenic acid~R-Pantothenate,C00864,C9H16NO5~C9H17NO5,219.110645
3-(Imidazol-4-yl)-2-oxopropyl phosphate~3-(imidazol-4-yl)-2-oxopropyl phosphate(2-)~imidazole acetol-phosphate~Imidazole-acetol phosphate~imidazole-acetol- phosphate~imidazole-acetol-phosphate,C01267,C6H7N2O5P~C6H9N2O5P,220.024875
"4'-chlorobiphenyl-2,3-diol",C06586,C12H9ClO2,220.029095
L-Histidinol phosphate~L-histidinol phosphate(1-)~L-histidinol-phosphate,C01100,C6H11N3O4P~C6H12N3O4P,221.05651
N-Acetyl-D-galactosamine~N-Acetyl-D-glucosamine~N-Acetyl-D-mannosamine,C00140~C00645~C01132,C8H15NO6,221.089905
4-sulfomuconolactone,C06676,C6H4O7S,221.98339
2-hydroxy-4-hydroxymethylbenzylidenepyruvic acid~2-succinatobenzoate~2-Succinylbenzoate~o-Succinylbenzoate~Succinylbenzoate,C02730~C14107,C11H10O5~C11H8O5~C11H9O5,222.0528
Cystathionine~L-Cystathionine~L-cystathionine dizwitterion,C00542~C02291,C7H14N2O4S,222.0674
6-Acetyl-D-glucose,C02655,C8H14O7,222.07392
4-methyl-5-(2- phosphoethyl)-thiazole~4-Methyl-5-(2-phosphoethyl)-thiazole~4-methyl-5-(2-phosphonatooxyethyl)thiazole(2-)~4-Methyl-5-(2-phosphono-oxyethyl)-thiazole~4-Methyl-5--2-phosphoethyl-thiazole,C04327,C6H10NO4PS~C6H8NO4PS,223.00679
4-Amino-4-deoxychorismate~4-amino-4-deoxychorismate(1-)~ADC,C11355,C10H10NO5~C10H11NO5,225.063695
"2,5-dichloro-4-oxohex-2-enedioate(2-)",C12835,C6H2Cl2O5,225.94355
Chorismate~chorismate(2-)~Chorismic acid~Isochorismate~isochorismate(2-)~Isochorismic acid~Prephenate~prephenate-phe~prephenate-tyr~Prephenic acid,C00251~C00254~C00885,C10H10O6~C10H8O6,226.04771
5-acetamido-6-formamido-3-methyluracil,C16365,C8H10N4O4,226.07017
Porphobilinogen~porphobilinogen(1-),C00931,C10H13N2O4~C10H14N2O4,226.09533
"4,4'-dihydroxy-alpha-methylstilbene",C13632,C15H14O2,226.09937
L-gamma-glutamyl 5-phosphate~L-gamma-glutamyl phosphate(2-)~L-Glutamate 5-phosphate~L-glutamate-5-phosphate~L-Glutamyl 5-phosphate,C03287,C5H10NO7P~C5H8NO7P,227.01945
L-Arogenate~L-arogenate(1-)~L-Arogenic acid~Pretyrosine,C00826,C10H12NO5~C10H13NO5,227.079345
2&#39;-Deoxycytidine~2'-deoxycytidine~Deoxycytidine,C00881,C9H13N3O4,227.090575
"2,4-dichloro-3-oxoadipate",C18244,C6H4Cl2O5,227.9592
2&#39;-Deoxyuridine~2'-deoxyuridine~2-Deoxyuridine~Deoxyuridine,C00526,C9H12N2O5,228.07459
trans-resveratrol,C03582,C14H12O3,228.07863
bisphenol A,C13624,C15H16O2,228.11502
Myristic acid~Tetradecanoate~tetradecanoate (C14:0)~tetradecanoate (n-C14:0)~Tetradecanoic acid,C06424,C14H28O2,228.20892
5-Phospho-beta-D-ribosylamine~5-phospho-beta-D-ribosylaminium(1-)~5-Phospho-D-ribosylamine~5-Phosphoribosyl-1-amine~5-Phosphoribosylamine,C03090,C5H11NO7P~C5H12NO7P,229.0351
alpha-D-Ribose 1-phosphate~alpha-D-ribose 1-phosphate(2-)~alpha-D-Ribose 5-phosphate~alpha-D-Ribose1-phosphate~alpha-D-Ribose5-phosphate~D-Arabinose 5-phosphate~D-Ribose 1-phosphate~D-Ribose 5-phosphate~D-ribose-1-phosphate~D-ribose-5-phosphate~D-ribulose 1-phosphate~D-Ribulose 5-phosphate~D-ribulose 5-phosphate(2-)~D-Ribulose5-phosphate~D-Xylulose 5-phospate~D-Xylulose 5-phosphate~D-xylulose 5-phosphate(2-)~D-xylulose-5-phosphate~D-Xylulose5-phosphate~L-Ribulose 5-phosphate~L-ribulose 5-phosphate(2-)~L-Xylulose 5-phosphate~Ribose 1-phosphate~Ribose 5-phosphate~ribose-5-phosphate,C00117~C00199~C00231~C00620~C01101~C01112~C03291~C03736~C06441,C5H11O8P~C5H9O8P,230.019115
4-Hydroxyphenyl-4-hydroxybenzoate,C18216,C13H10O4,230.05789
N2-Succinyl-L-glutamate 5-semialdehyde,C05932,C9H13NO6,231.074255
1-Methoxypyrene,C18259,C17H12O,232.08881
gamma-glutamyl-gamma aminobutyric acid~N2-Succinyl-L-ornithine,C03415~C15767,C9H16N2O5~C9H16O5N2,232.10589
2-hydroxy-3-carboxybenzylidenepyruvic acid,C14095,C11H6O6,236.03206
2-bromomaleylacetate,C16249,C6H3BrO5,236.917675
D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate~D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate(2-)~D-erythro-imidazol-glycerol-phosphate~D-erythro-Imidazole-glycerol 3-phosphate~D-erythro-Imidazole-glycerol phosphate~d-erythro-imidazole-glycerol-phosphate,C04666,C6H11N2O6P~C6H9N2O6P,238.035435
3-Deoxy-D-manno-2-octulosonate,C01187,C8H14O8,238.06883
"3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoic acid~9,17-dioxo-1,2,3,4,10,19-hexanorandrostan-5-oate",C20199,C13H17O4~C13H18O4,238.12049
(6R)-6-(L-erythro-1.2-Dihydroxypropyl)-7.8-dihydro-6H-pterin~6.7-Dihydrobiopterin~Dihydrobiopterin~Quinoid-dihydrobiopterin,C00268,C9H13N5O3,239.101805
L-cystine zwitterion,C00491,C6H12N2O4S2,240.02382
"(1R,6R)-2-(3-carboxylatopropanoyl)-6-hydroxycyclohexa-2,4-diene-1-carboxylate~(1R,6R)-6-Hydroxy-2-succinylcylohexa-2,4-diene-1-carboxylate~(1R.6R)-2-Succinyl-6-hydroxy-2.4-cyclohexadiene-1-carboxylate~(1R.6R)-6-Hydroxy-2-succinylcyclohexa-2.4-diene-1-carboxylate~(1S.6R)-6-Hydroxy-2-succinylcyclohexa-2.4-diene-1-carboxylate~2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate~2-Succinyl-6-hydroxy-2-4-cyclohexadiene-1-carboxylate~2-Succinyl-6-hydroxy-2.4-cyclohexadiene-1-carboxylate~SHCHC",C05817,C11H10O6~C11H12O6,240.06336
"3-[(3aS,4S,7aS)-7a-Methyl-1-hydroxy-5-oxo-octahydro-1H-inden-4-yl]propanoic acid",,C13H20O4,240.13614
"2,3-dihydroxybenzoylserine",C04204,C10H11NO6,241.058605
"2,3,5-trichlorodienelactone",C18242,C6Cl3O4,241.894015
Deoxythymidine~Thymidine,C00214,C10H14N2O5,242.09024
Pentadecanoic acid,C16537,C15H30O2,242.22457
Cytidine~gamma-Glutamyl-beta-cyanoalanine,C00475~C05711,C9H13N3O5,243.085485
"2,3,5-trichloro-cis,cis-muconate(2-)",C12833,C6HCl3O4,243.909665
L-Fuculose 1-phosphate~L-Fuculose1-phosphate~L-Rhamnulose 1-phosphate~L-rhamnulose 1-phosphate(2-),C01099~C01131,C6H11O8P~C6H13O8P,244.034765
Uridine,C00299,C9H12N2O6,244.0695
piceatannol,C05901,C14H12O4,244.07354
BIOT~Biotin~Coenzyme R~D-Biotin~Vitamin H,C00120,C10H15N2O3S~C10H16N2O3S,244.08814
"1,2-bis(4-hydroxyphenyl)propan-2-ol~2,2-bis(4-hydroxyphenyl)-1-propanol",C13629~C13631,C15H16O3,244.10993
tetrachlorocatechol,C18240,C6HCl4O2,245.88087
2-Isopentenyl diphosphate~delta-Prenyl diphosphate~delta2-Isopentenyl diphosphate~delta3-Isopentenyl diphosphate~delta3-Methyl-3-butenyl diphosphate~Dimethylallyl diphosphate~Dimethylallyldiphosphate~DMAPP~Isopentenyl diphosphate~Isopentenyldiphosphate~Prenyl diphosphate~prenyl diphosphate(3-),C00129~C00235,C5H12O7P2~C5H9O7P2,246.00579
Glycerophosphoglycerol,C03274,C6H15O8P,246.050415
Pyridoxal 5&#39;-phosphate~Pyridoxal 5'-phosphate~Pyridoxal 5-phosphate~Pyridoxal phosphate,C00018,C8H10NO6P~C8H8NO6P,247.02454
N2-Succinyl-L-glutamate,C05931,C9H13NO7,247.069165
linamarin,C01594,C10H17NO6,247.105555
Pyridoxamine 5&#39;-phosphate~Pyridoxamine 5'-phosphate~pyridoxamine 5'-phosphate(1-)~Pyridoxamine 5-phosphate~Pyridoxamine phosphate,C00647,C8H12N2O5P~C8H13N2O5P,248.056175
1-Hydroxy-6-methoxypyrene,C18261,C17H12O2,248.08372
N6-Hydroxy-L-lysine coupled to malonyl group,,C9H16N2O6,248.1008
Pyridoxine 5&#39;-phosphate~Pyridoxine 5'-phosphate~pyridoxine 5'-phosphate(2-)~Pyridoxine 5-phosphate~Pyridoxine phosphate~pyridoxine-5&#39;-phosphate,C00627,C8H10NO6P~C8H12NO6P,249.04019
S-Acetyldihydrolipoamide,C01136,C10H19NO2S2,249.085705
gamma-L-Glutamyl-L-cysteine~L-gamma-glutamyl-L-cysteinate(1-),C00669,C8H13N2O5S~C8H14N2O5S,250.06231
2&#39;-Deoxyadenosine~2'-deoxyadenosine~5&#39;-Deoxyadenosine~5'-Deoxyadenosine~5-Deoxyadenosine~Deoxyadenosine,C00559~C05198,C10H13N5O3,251.101805
"beta-2,3,5,6-Tetrachloro-1,4-cyclohexanediol",C16182,C6H8Cl4O2,251.92782
"(2E,4Z)-6-(4-chlorophenyl)-2-hydroxy-6-oxohexa-2,4-dienoic acid",C06587,C12H8ClO4,252.018915
2'-deoxyinosine~Deoxyinosine,C05512,C10H12N4O4,252.08582
3-phosphoshikimate~Shikimate 3-phosphate~Shikimate 5-phosphate~shikimate-3-phosphate~Shikimate5-phosphate,C03175,C7H11O8P~C7H8O8P,254.019115
5-Glutamyl-taurine,C05844,C7H13N2O6S,254.05722
3-beta-D-galactosyl-sn-glycerol,C05401,C9H18O8,254.10013
(9Z)-Hexadecenoic acid~Hexadecenoate (n-C16:1),C08362,C16H30O2,254.22457
"2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine~2-Amino-4-hydroxy-6-(D-erythro-1.2.3-trihydroxypropyl)-7.8- dihydropteridine~2-Amino-4-hydroxy-6-(D-erythro-1.2.3-trihydroxypropyl)-7.8-dihydropteridine~2-amino-4-hydroxy-6-(erythro-1.2.3-trihydroxypropyl)dihydropteridine~7,8-dihydromonapterin~7,8-Dihydroneopterin~7.8-dihydroneopterin~dihydro-neo-pterin~Dihydroneopterin",C04874,C9H13N5O4,255.096715
1-(beta-D-Ribofuranosyl)nicotinamide~beta-nicotinamide D-riboside~N-Ribosylnicotinamide~Nicotinamide-beta-riboside,C03150,C11H15N2O5,255.098065
L-ascorbate-6-phosphate,C16186,C6H9O9P,255.998375
beta-D-ribosylnicotinate~Nicotinate D-ribonucleoside,C05841,C11H13NO6~C11H14NO6,256.08208
Cetylic acid~Hexadecanoate~Hexadecanoate (n-C16:0)~Hexadecanoic acid~Hexadecylic acid~Palmitate~Palmitic acid,C00249,C16H31O2~C16H32O2,256.24022
(6R)-6-(L-erythro-1.2-Dihydroxypropyl)-5.6.7.8-tetrahydro-4a- hydroxypterin~4a-Hydroxy-5.6.4.8-tetrahydrobiopterin~4a-Hydroxytetrahydrobiopterin,C15522,C9H15N5O4,257.112365
Inorganic triphosphate~Triphosphate~triphosphate(4-)~Tripolyphosphate,C00536,H5O10P3~H5P3O10~HO10P3,257.909505
"2-dehydro-3-deoxy-6-phosphonato-D-gluconate(3-)~2-Dehydro-3-deoxy-D-galactonate 6-phosphate~2-Dehydro-3-deoxy-D-gluconate 6-phosphate~6-O-phosphono-D-glucono-1,5-lactone~6-phospho-D-glucono-1,5-lactone~6-phospho-D-glucono-1-5-lactone~6-Phospho-D-glucono-1.5-lactone~6-phosphonato-2-dehydro-3-deoxy-D-galactate(3-)~6-phosphonato-5-dehydro-2-deoxy-D-gluconate(3-)~D-Glucono-1,5-lactone 6-phosphate~D-Glucono-1.5-lactone 6-phosphate",C01236~C01286~C04442~C06893,C6H11O9P~C6H8O9P~C6H9O9P,258.014025
Glycerophosphocholine~L-alpha-glycerophosphocholine~sn-glycero-3-Phosphocholine,C00670,C8H20NO6P~C8H21NO6P,258.110615
2-ammonio-2-deoxy-D-glucopyranose 6-phosphate(1-)~3-amino-3-deoxy-D-fructose 6-phosphate~alpha-D-Glucosamine 1-phosphate~alpha-D-glucosamine 1-phosphate(1-)~D-Glucosamine 1-phosphate~D-Glucosamine 6-phosphate~D-Glucosamine phosphate~d-glucosamine-6-phosphate~D-Glucosamine1-phosphate~D-Glucosamine6-phosphate,C00352~C06156~C12214,C6H13NO8P~C6H14NO8P,259.04566
"2,3,5-trichloromaleylacetic acid",C18243,C6HCl3O5,259.904575
5-Methylthio-5-deoxy-D-ribose 1-phosphate~5-Methylthio-5-deoxy-D-ribose1-phosphate~methylthioribose-1-phosphate~S-Methyl-5-thio-5-deoxy-D-ribose 1-phosphate~S-Methyl-5-thio-alpha-D-ribose 1-phosphate~S-methyl-5-thio-alpha-D-ribose 1-phosphate(2-)~S-Methyl-5-thio-D-ribose 1-phosphate,C04188,C6H11O7PS~C6H13O7PS,260.011925
1D-myo-Inositol 1-monophosphate~1D-myo-Inositol 1-phosphate~1D-myo-inositol 1-phosphate(2-)~1D-myo-Inositol 3-monophosphate~1D-myo-Inositol 3-phosphate~1D-myo-inositol 3-phosphate(2-)~1D-myo-Inositol 4-monophosphate~1D-myo-Inositol 4-phosphate~1D-myo-inositol 4-phosphate(2-)~1L-myo-Inositol 1-phosphate~Allulose 6-phosphate~alpha-D-Galactopyranose 1-phosphate~alpha-D-Galactose 1-phosphate~alpha-D-galactose 1-phosphate(2-)~alpha-D-galactose-1-phosphate~alpha-D-Galactose1-phosphate~alpha-D-Glucose 1-phosphate~alpha-D-glucose 1-phosphate(2-)~alpha-D-Glucose 6-phosphate~alpha-D-glucose 6-phosphate(2-)~alpha-D-Glucose-1-phosphate~alpha-D-glucose-6-phosphate~alpha-D-Mannose 1-phosphate~alpha-D-mannose 1-phosphate(2-)~beta-D-fructofuranose 2-phosphate(2-)~beta-D-Fructose 6-phosphate~beta-D-Glucose 1-phosphate~beta-D-Glucose 6-phosphate~Cori ester~D-Allose 6-phosphate~D-Fructose 1-phosphate~D-Fructose 6-phosphate~D-fructose 6-phosphate(2-)~D-Fructose 6-phosphoric acid~D-fructose-1-phosphate~D-fructose-6-phosphate~D-Fructose1-phosphate~D-Fructose6-phosphate~D-Galactose 1-phosphate~D-glucopyranose 6-phosphate~D-Glucose 1-phosphate~D-Glucose 6-phosphate~D-Glucose alpha-1-phosphate~D-glucose-1-phosphate~D-glucose-6-phosphate~D-Glucose1-phosphate~D-Glucose6-phosphate~D-mannopyranose 6-phosphate(2-)~D-Mannose 1-phosphate~D-Mannose 6-phosphate~D-mannose-6-phosphate~D-Mannose1-phosphate~D-Mannose6-phosphate~D-myo-Inositol 1-phosphate~D-myo-Inositol 3-monophosphate~D-myo-Inositol 3-phosphate~D-myo-Inositol 4-phosphate~D-tagatofuranose 6-phosphate(2-)~D-Tagatose 6-phosphate~Fructose 1-phosphate~fructose-1-phosphate~Glucose 6-phosphate~glucose-6-phosphate~Inositol 1-phosphate~Inositol 3-monophosphate~Inositol 3-phosphate~Inositol 4-phosphate~L-myo-Inositol 1-phosphate~L-sorbose 1-phosphate~myo-Inositol 1-phosphate~myo-Inositol 3-monophosphate~myo-Inositol 3-phosphate~myo-Inositol 4-phosphate~Neuberg ester~Robison ester,C00085~C00092~C00103~C00275~C00446~C00636~C00663~C00668~C01094~C01097~C01172~C01177~C02888~C02962~C03267~C03546~C04006~C05345~C18096,C6H11O9P~C6H13O9P,260.029675
Biotin sulfoxide~biotinate sulfoxide,C20386,C10H15N2O4S~C10H16N2O4S,260.08305
"2,3-Bis(4-hydroxyphenyl)-1,2-propanediol",C13634,C15H16O4,260.10484
Phosphotyrosine,C06501,C9H12NO6P,261.04019
lotaustralin,C08334,C11H19NO6,261.121205
(2E)-4-hydroxy-3-methylbut-2-enyl diphosphate~(E)-4-Hydroxy-3-methylbut-2-en-1-yl diphosphate~1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate~1-hydroxy-2-methyl-2--butenyl 4-diphosphate~1-hydroxy-2-methyl-2--E-butenyl4-diphosphate~1-Hydroxy-2-methyl-2-butenyl 4-diphosphate,C11811,C5H12O8P2~C5H9O8P2,262.0007
D-glucitol 6-phosphate~D-Mannitol 1-phosphate~D-Sorbitol 6-phosphate~Galactitol 1-phosphate,C00644~C01096~C06311,C6H13O9P~C6H15O9P,262.045325
"1,6-Dimethoxypyrene",C18260,C18H14O2,262.09937
Aneurin~Antiberiberi factor~THI~Thiamin~Thiamine~thiamine(1+)~Vitamin B1,C00378,C12H17N4OS,265.112285
(R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid~1.3-Bisphospho-D-glycerate~3-Phospho-D-glyceroyl phosphate~3-phospho-d-glyceroyl-phosphate~3-Phospho-D-glyceroylphosphate~3-phosphonato-D-glyceroyl phosphate(4-),C00236,C3H4O10P2~C3H8O10P2,265.95922
Ribose-5-S-homocysteine~S-(5-Deoxy-D-ribos-5-yl)-L-homocysteine~S-(5-deoxy-D-ribos-5-yl)-L-homocysteine zwitterion~S-D-Ribosyl-L-homocysteine~S-Ribosyl-L-homocysteine~S-Ribosylhomocysteine,C03539,C9H17NO6S,267.077625
2&#39;-Deoxyguanosine~2'-deoxyguanosine~Adenosine~Deoxyguanosine,C00212~C00330,C10H13N5O4,267.096715
2(alpha-D-Mannosyl)-D-glycerate,C11544,C9H16O9,268.07939
Inosine,C00294,C10H12N4O5,268.08073
N-acetyl-5-glutamyl phosphate~N-acetyl-glutamyl-phosphate~N-acetyl-L-gamma-glutamyl phosphate(3-)~N-Acetyl-L-glutamate 5-phosphate~N-Acetyl-L-glutamyl 5-phosphate~n-acetylglutamyl-phosphate,C04133,C7H12NO8P~C7H9NO8P,269.03001
L-selenocystathionine,C05699,C7H14N2O4Se,269.05533
"beta-2,3,4,5,6-Pentachlorocyclohexanol",C16181,C6H7Cl5O,269.893935
heptadecanoate,,C17H34O2,270.25587
Arbutin,C06186,C12H16O7,272.08957
3-keto-L-gulonate-6-phosphate~D-Glucuronate 1-phosphate,C05385~C14899,C6H11O10P,274.008935
N2-Succinyl-L-arginine,C03296,C10H18N4O5,274.12768
6-Phospho-D-gluconate~6-phosphonatooxy-D-gluconate,C00345,C6H10O10P~C6H13O10P,276.024585
4-(1-D-Ribitylamino)-5-amino-2.6-dihydroxypyrimidine~4-(1-D-Ribitylamino)-5-aminouracil~4--1-D-Ribitylamino-5-aminouracil~5-Amino-6-(5-phosphoribosylamino)uracil~5-amino-6-(D-ribitylamino)uracil,C04732,C9H16N4O6,276.10694
L-saccharopine,C00449,C11H19N2O6,276.1321
"3,5-dibromo-4-oxidobenzonitrile(1-)",C04178,C7H2Br2NO,276.829455
[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine~Enzyme N6-(S-[2-methylpropanoyl]dihydrolipoyl)lysine~S-(2-Methylpropanoyl)-dihydrolipoamide~S-(2-Methylpropanoyl)-dihydrolipoamide-E~S-(2-Methylpropionyl)-dihydrolipoamide~S-(2-Methylpropionyl)-dihydrolipoamide-E,~C04424,C12H23NO2S2,277.117005
7-aminomethyl-7-deazaguanine,C01449,C7H9N5O,277.117455
"tetrachloro-cis,cis-muconate(2-)",C18241,C6Cl4O4,277.87069
"2-C-methyl-D-erythritol 2,4-cyclic diphosphate(2-)~2-C-methyl-D-erythritol 2,4-cyclodiphosphate~2-C-Methyl-D-erythritol 2.4-cyclodiphosphate~2-c-methyl-d-erythritol-2.4-cyclodiphosphate~2-C-methyl-D-erythritol2-4-cyclodiphosphate~2-C0Methyl-D-erythritol 2,4-cyclodiphosphate~3-Methyl-1.2.3.4-tetrahydroxybutane-1.3-cyclic bisphosphate",C11453,C5H10O9P2~C5H12O9P2,277.99561
"alpha-Ribazole~N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole~N1-(alpha-D-ribosyl)-5.6-dimethylbenzimidazole",C05775,C14H18N2O4,278.12663
pantetheine,C00831,C11H22N2O4S,278.13
gamma-linolenate,C06426,C18H29O2,278.22457
linoleate,C01595,C18H31O2,280.24022
"1-chloro-2,2-bis(4'-chlorophenyl)ethylene",C06637,C14H9Cl3,281.976975
(9Z)-Octadecenoic acid~oleate,C00712,C18H33O2~C18H34O2,282.25587
Guanosine,C00387,C10H13N5O5,283.091625
"1-chloro-2,2-bis(4-chlorophenyl)ethane",C06638,C14H11Cl3,283.992625
Xanthosine,C01762,C10H12N4O6,284.07564
Rhamnose-benzoic acid,,C13H16O7,284.08957
"Androsta-1,4-diene-3,17-dione",C20144,C19H24O2,284.17762
retinal,C00376,C20H28O,284.21401
ocdca~octadecanoate~octadecanoate (n-C18:0)~Octadecanoic acid~Stearate~Stearic acid,C01530,C18H35O2~C18H36O2,284.27152
5&#39;-Phosphoribosylglycinamide~5-Phosphoribosylglycinamide~GAR~Glycinamide ribonucleotide~N(1)-(5-phospho-D-ribosyl)glycinamide(1-)~N1-(5-Phospho-D-ribosyl)glycinamide~N1--5-Phospho-D-ribosylglycinamide,C03838,C7H14N2O8P~C7H15N2O8P,286.056555
"5-androstene-3,17-dione~Androstenedione",C00280~C20252,C19H26O2,286.19327
all-trans-retinol,C00473,C20H30O,286.22966
"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate(2-)~(1S.2R)-1-C-(Indol-3-yl)glycerol 3-phosphate~(3-Indolyl)-glycerol phosphate~1-(indol-3-yl)glycerol 3-phosphate~1-C-(Indol-3-yl)glycerol 3-phosphate~C&#39;-(3-Indolyl)-glycerol 3-phosphate~C'-(3-Indolyl)-glycerol 3-phosphate~C--3-Indolyl-glycerol3-phosphate~C1-(3-Indolyl)-glycerol 3-phosphate~Indole-3-glycerol phosphate~indole-3-glycerol-phosphate~Indoleglycerol phosphate",C03506,C11H12NO6P~C11H14NO6P,287.05584
beta-hexachlorocyclohexane,C06988,C6H6Cl6,287.86005
